Partei;Name;ID;Bezirk;Kalenderwoche;Anzahl
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;2;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;3;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;4;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;5;2
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;8;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;9;4
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;10;2
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;11;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;12;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;13;2
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;14;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;15;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;19;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;25;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;28;1
ÖVP;Gerstl Wolfgang, Mag.;96791014;9E Wien Süd-West;31;1
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;1;2
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;2;4
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;3;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;4;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;5;5
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;6;5
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;7;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;8;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;9;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;10;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;11;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;12;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;13;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;14;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;15;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;16;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;17;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;18;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;19;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;20;5
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;21;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;22;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;23;4
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;24;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;25;5
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;26;5
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;27;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;28;7
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;29;4
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;30;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;31;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;32;5
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;33;6
SPÖ;Schieder Andreas, Mag.;15749452;9 Wien;34;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;2;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;3;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;4;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;5;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;6;3
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;7;2
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;8;6
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;9;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;10;3
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;11;2
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;12;3
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;13;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;14;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;15;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;16;6
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;17;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;18;1
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;19;1
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;20;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;21;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;22;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;23;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;24;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;25;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;26;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;27;3
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;28;5
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;29;4
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;30;2
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;32;2
ÖVP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;34;2
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;1;2
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;2;2
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;3;6
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;4;4
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;5;6
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;6;6
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;7;6
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;8;6
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;9;6
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;10;4
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;11;10
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;12;8
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;13;4
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;14;4
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;15;4
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;16;2
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;17;2
FPÖ;Schrangl Philipp, Mag.;393965843;4A Linz und Umgebung;18;4
