Name;Alter;Partei;ID
Alexander Melchior;42;ÖVP;
Alois Schroll;56;SPÖ;
Alois Stöger, diplômé;63;SPÖ;
Andreas Kollross;53;SPÖ;2772835668
Andreas Kühberger;50;ÖVP;
Andreas Minnich;49;ÖVP;
Andreas Ottenschläger;49;ÖVP;
Angela Baumgartner;55;ÖVP;
ao. Univ.-Prof. Mag. Dr. Rudolf Taschner;71;ÖVP;
Assoz. Univ.-Prof.in Mag.a Dr.in Juliane Bogner-Strauß;52;ÖVP;
August Wöginger;49;ÖVP;
Barbara Neßler;33;GRÜNE;9,74E+17
Bedrana Ribo, M.A.;42;GRÜNE;
Bettina Zopf;49;ÖVP;
Carina Reiter;35;ÖVP;
Christian Hafenecker, M.A.;43;FPÖ;150739282
Christian Lausch;54;FPÖ;
Christian Oxonitsch;62;SPÖ;
Christian Ries;52;FPÖ;
Christoph Stark;57;ÖVP;88396316
Christoph Zarits;43;ÖVP;
David Stögmüller;37;GRÜNE;540694329
DI Olga Voglauer;43;GRÜNE;
Dietmar Keck;67;SPÖ;
Dipl. Ing. Gerhard Deimek;61;FPÖ;574351267
Dipl.-Ing. Andrea Holzner;59;ÖVP;9,81E+17
Dipl.-Ing. Georg Strasser;52;ÖVP;
Dipl.-Ing. Karin Doppelbauer;49;NEOS;8,66E+17
Dipl.-Ing. Nikolaus Berlakovich;63;ÖVP;
Dipl.-Kffr. (FH) Elisabeth Pfurtscheller;60;ÖVP;
Dipl.-Päd. Ing. Manfred Hofinger;54;ÖVP;
Dipl.-Päd. Petra Tanzler;51;SPÖ;
Doris Bures;61;SPÖ;
Douglas Hoyos-Trauttmansdorff, BSc.;33;NEOS;87757854
Dr. Christian Stocker;64;ÖVP;
Dr. Christoph Matznetter;65;SPÖ;249404950
Dr. Harald Troch;65;SPÖ;
Dr. Johannes Margreiter;66;NEOS;24527379
Dr. Nikolaus Scherak, M.A.;37;NEOS;140398719
Dr. Reinhold Lopatka;64;ÖVP;816879318
Dr. Susanne Fürst;55;FPÖ;
Dr. Werner Saxinger, MSc;58;ÖVP;
Dr.in Astrid Rössler;65;GRÜNE;
Dr.in Dagmar Belakowitsch;55;FPÖ;518358904
Dr.in Stephanie Krisper;44;NEOS;256020864
Elisabeth Feichtinger, BEd, BEd;36;SPÖ;
Eva-Maria Himmelbauer, BSc;37;ÖVP;
Eva-Maria Holzleitner, BSc;31;SPÖ;
FInsp Alois Kainz;60;FPÖ;
Fiona Fiedler, BEd;48;NEOS;
Franz Hörl;67;ÖVP;7,39E+17
Gabriele Heinisch-Hosek;62;SPÖ;
Hans Stefan Hintner;60;ÖVP;
Heike Grebien, BA;36;GRÜNE;
Henrike Brandstötter;48;NEOS;278921219
Herbert Kickl;55;FPÖ;
Hermann Brückl, MA;55;FPÖ;
Hermann Gahr;63;ÖVP;
Hermann Weratschnig, MBA, MSc;49;GRÜNE;
Ing. Johann Weber;59;ÖVP;
Ing. Josef Hechenberger;49;ÖVP;
Ing. Klaus Lindinger, BSc;35;ÖVP;
Ing. Mag. Volker Reifenberger;45;FPÖ;4861442225
Ing. Martin Litschauer;49;GRÜNE;2180371392
Ing. Norbert Hofer;53;FPÖ;333606989
Ing. Reinhold Einwallner;51;SPÖ;214079064
Ing.in Mag.a (FH) Alexandra Tanda;61;ÖVP;
Irene Neumann-Hartberger;49;ÖVP;
Joachim Schnabel;47;ÖVP;1921215740
Johann Höfinger;54;ÖVP;
Johann Singer;66;ÖVP;
Johannes Schmuckenschlager;45;ÖVP;
Josef Muchitsch;56;SPÖ;1,16E+18
Julia Herr;31;SPÖ;854535318
Kai Jan Krainer;55;SPÖ;7,40E+17
Karlheinz Kopf;66;ÖVP;
Katharina Kucharowits;40;SPÖ;109310122
Kira Grünberg;30;ÖVP;
Klaus Köchl;62;SPÖ;
KommR Gabriel Obernosterer;69;ÖVP;
KommR Laurenz Pöttinger;59;ÖVP;
Lukas Brandweiner;35;ÖVP;
Mag. (FH) Kurt Egger;49;ÖVP;
Mag. Andreas Hanger;55;ÖVP;3367085355
Mag. Carmen Jeitler-Cincelli, BA;43;ÖVP;
Mag. Christian Drobits;56;SPÖ;
