"Name","Alter","Partei"
"Mag. Hannes Amesbauer, BA","43","FPÖ"
"MMag. Dr. Karl-Arthur Arlamovsky","51","NEOS"
"Angela Baumgartner","55","ÖVP"
"Petra Bayr, MA, MLS","56","SPÖ"
"Mag.a Ruth Becher","68","SPÖ"
"Pia Philippa Beck","36","..."
"Dr.in Dagmar Belakowitsch","55","FPÖ"
"Dipl.-Ing. Nikolaus Berlakovich","63","ÖVP"
"Michael Bernhard","43","NEOS"
"Mag.a Eva Blimlinger","62","GRÜNE"
"Assoz. Univ.-Prof.in Mag.a Dr.in Juliane Bogner-Strauß","52","ÖVP"
"Ulrike Böker","67","GRÜNE"
"Henrike Brandstötter","48","NEOS"
"Lukas Brandweiner","35","ÖVP"
"Hermann Brückl, MA","55","FPÖ"
"Doris Bures","61","SPÖ"
"Mag. Georg Bürstmayr","61","GRÜNE"
"Mag.a Romana Deckenbacher, BEd","57","ÖVP"
"Dipl. Ing. Gerhard Deimek","61","FPÖ"
"Martina Diesner-Wais","56","ÖVP"
"Mag.a Meri Disoski","41","GRÜNE"
"Dipl.-Ing. Karin Doppelbauer","49","NEOS"
"Mag. Christian Drobits","56","SPÖ"
"Mag.a Muna Duzdar, Master","45","SPÖ"
"Rosa Ecker, MBA","55","FPÖ"
"Mag. (FH) Kurt Egger","49","ÖVP"
"Ing. Reinhold Einwallner","51","SPÖ"
"Mag.a Faika El-Nagashi","47","GRÜNE"
"Mag. Martin Engelberg","64","ÖVP"
"Melanie Erasim, MSc","41","SPÖ"
"Mag.a Dr.in Ewa Ernst-Dziedzic","43","GRÜNE"
"ÖkR Franz Eßl","66","ÖVP"
"Elisabeth Feichtinger, BEd, BEd","36","SPÖ"
"Fiona Fiedler, BEd","48","NEOS"
"Mag.a. Ulrike Fischer","51","GRÜNE"
"MMag. DDr. Hubert Fuchs","55","FPÖ"
"Mag. Klaus Fürlinger","59","ÖVP"
"Dr. Susanne Fürst","55","FPÖ"
"Hermann Gahr","63","ÖVP"
"Mag. Wolfgang Gerstl","62","ÖVP"
"Mag. Ernst Gödl","52","ÖVP"
"Mag.a Dr.in Elisabeth Götze","58","GRÜNE"
"Mag. Dr. Martin Graf","64","FPÖ"
"Tanja Graf","49","ÖVP"
"Heike Grebien, BA","36","GRÜNE"
"Mag.a Karin Greiner","56","SPÖ"
"Maria Großbauer","44","ÖVP"
"Kira Grünberg","30","ÖVP"
"Christian Hafenecker, M.A.","43","FPÖ"
"Mag.a Sibylle Hamann","57","GRÜNE"
"Mag. Lukas Hammer","41","GRÜNE"
"Mag. Michael Hammer","47","ÖVP"
"Mag. Andreas Hanger","55","ÖVP"
"Peter Haubner","64","ÖVP"
"Prof. Mag. Gerald Hauser","62","FPÖ"
"Ing. Josef Hechenberger","49","ÖVP"
"Gabriele Heinisch-Hosek","62","SPÖ"
"Werner Herbert","60","FPÖ"
"Julia Herr","31","SPÖ"
"Eva-Maria Himmelbauer, BSc","37","ÖVP"
"Hans Stefan Hintner","60","ÖVP"
"Ing. Norbert Hofer","53","FPÖ"
"Johann Höfinger","54","ÖVP"
"Dipl.-Päd. Ing. Manfred Hofinger","54","ÖVP"
"Eva-Maria Holzleitner, BSc","31","SPÖ"
"Dipl.-Ing. Andrea Holzner","59","ÖVP"
"Franz Hörl","67","ÖVP"
"Douglas Hoyos-Trauttmansdorff, BSc.","33","NEOS"
"Mag. Johanna Jachs","32","ÖVP"
"Mag. Carmen Jeitler-Cincelli, BA","43","ÖVP"
"FInsp Alois Kainz","60","FPÖ"
"Mag. Gerhard Kaniak","45","FPÖ"
"MMMag. Dr. Axel Kassegger","58","FPÖ"
"Martina Kaufmann, MMSc, BA","38","ÖVP"
"Dietmar Keck","67","SPÖ"
"Herbert Kickl","55","FPÖ"
"Rebecca Kirchbaumer","49","ÖVP"
"Klaus Köchl","62","SPÖ"
"Maximilian Köllner, MA","32","SPÖ"
"Andreas Kollross","53","SPÖ"
"Karlheinz Kopf","66","ÖVP"
"Mag. Markus Koza","53","GRÜNE"
"Kai Jan Krainer","55","SPÖ"
"Dr.in Stephanie Krisper","44","NEOS"
"Katharina Kucharowits","40","SPÖ"
"Philip Kucher","42","SPÖ"
"MMag.a Dr.in Gudrun Kugler, MTS","47","ÖVP"
"Andreas Kühberger","50","ÖVP"
"Mag.a Martina Künsberg Sarre","48","NEOS"
"Mag.a Andrea Kuntzl","66","SPÖ"
"Robert Laimer","57","SPÖ"
"Christian Lausch","54","FPÖ"
"Mag. Jörg Leichtfried","56","SPÖ"
"Maximilian Lercher","37","SPÖ"
"Maximilian Linder","59","FPÖ"
"Ing. Klaus Lindinger, BSc","35","ÖVP"
"Mario Lindner","42","SPÖ"
"Ing. Martin Litschauer","49","GRÜNE"
"Mag. Gerald Loacker","50","NEOS"
"Dr. Reinhold Lopatka","64","ÖVP"
"Nico Marchetti","34","ÖVP"
"Dr. Johannes Margreiter","66","NEOS"
"Dr. Christoph Matznetter","65","SPÖ"
"Sigrid Maurer, BA","39","GRÜNE"
"Mag.a Beate Meinl-Reisinger, M.E.S.","46","NEOS"
"Alexander Melchior","42","ÖVP"
"Andreas Minnich","49","ÖVP"
"Josef Muchitsch","56","SPÖ"
"Barbara Neßler","33","GRÜNE"
"Irene Neumann-Hartberger","49","ÖVP"
"Mag. Dr. Maria-Theresia Niss, MBA","46","ÖVP"
"Mag.a Verena Nussbaum","54","SPÖ"
