Partei;Name;ID;Bezirk;Kalenderwoche;Anzahl
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;2;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;3;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;4;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;5;2
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;8;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;9;4
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;10;2
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;11;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;12;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;13;2
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;14;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;15;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;19;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;25;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;28;1
?VP;Gerstl Wolfgang, Mag.;96791014;9E Wien S?d-West;31;1
SP?;Schieder Andreas, Mag.;15749452;9 Wien;1;2
SP?;Schieder Andreas, Mag.;15749452;9 Wien;2;4
SP?;Schieder Andreas, Mag.;15749452;9 Wien;3;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;4;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;5;5
SP?;Schieder Andreas, Mag.;15749452;9 Wien;6;5
SP?;Schieder Andreas, Mag.;15749452;9 Wien;7;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;8;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;9;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;10;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;11;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;12;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;13;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;14;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;15;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;16;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;17;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;18;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;19;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;20;5
SP?;Schieder Andreas, Mag.;15749452;9 Wien;21;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;22;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;23;4
SP?;Schieder Andreas, Mag.;15749452;9 Wien;24;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;25;5
SP?;Schieder Andreas, Mag.;15749452;9 Wien;26;5
SP?;Schieder Andreas, Mag.;15749452;9 Wien;27;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;28;7
SP?;Schieder Andreas, Mag.;15749452;9 Wien;29;4
SP?;Schieder Andreas, Mag.;15749452;9 Wien;30;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;31;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;32;5
SP?;Schieder Andreas, Mag.;15749452;9 Wien;33;6
SP?;Schieder Andreas, Mag.;15749452;9 Wien;34;5
?VP;Lopatka Reinhold, Dr.;816879318;6B Oststeiermark;2;4
