"Vorname","Nachname","Alter","Partei"
"Hannes","Amesbauer","43","FPÖ"
"Karl-Arthur","Arlamovsky","51","NEOS"
"Angela","Baumgartner","55","ÖVP"
"Petra","Bayr","56","SPÖ"
"Ruth","Becher","68","SPÖ"
"Pia Philippa","Beck","36","..."
"Dagmar","Belakowitsch","55","FPÖ"
"Nikolaus","Berlakovich","63","ÖVP"
"Michael","Bernhard","43","NEOS"
"Eva","Blimlinger","62","GRÜNE"
"Juliane","Bogner-Strauß","52","ÖVP"
"Ulrike","Böker","67","GRÜNE"
"Henrike","Brandstötter","48","NEOS"
"Lukas","Brandweiner","35","ÖVP"
"Hermann","Brückl","55","FPÖ"
"Doris","Bures","61","SPÖ"
"Georg","Bürstmayr","61","GRÜNE"
"Romana","Deckenbacher","57","ÖVP"
"Gerhard","Deimek","61","FPÖ"
"Martina","Diesner-Wais","56","ÖVP"
"Meri","Disoski","41","GRÜNE"
"Karin","Doppelbauer","49","NEOS"
"Christian","Drobits","56","SPÖ"
"Muna","Duzdar","45","SPÖ"
"Rosa","Ecker","55","FPÖ"
"Kurt","Egger","49","ÖVP"
"Reinhold","Einwallner","51","SPÖ"
"Faika","El-Nagashi","47","GRÜNE"
"Martin","Engelberg","64","ÖVP"
"Melanie","Erasim","41","SPÖ"
"Ewa","Ernst-Dziedzic","44","GRÜNE"
"Franz","Eßl","66","ÖVP"
"Elisabeth","Feichtinger","36","SPÖ"
"Fiona","Fiedler","48","NEOS"
"Ulrike","Fischer","51","GRÜNE"
"Hubert","Fuchs","55","FPÖ"
"Klaus","Fürlinger","59","ÖVP"
"Susanne","Fürst","55","FPÖ"
"Hermann","Gahr","63","ÖVP"
"Wolfgang","Gerstl","62","ÖVP"
"Ernst","Gödl","52","ÖVP"
"Elisabeth","Götze","58","GRÜNE"
"Martin","Graf","64","FPÖ"
"Tanja","Graf","49","ÖVP"
"Heike","Grebien","36","GRÜNE"
"Karin","Greiner","56","SPÖ"
"Maria","Großbauer","44","ÖVP"
"Kira","Grünberg","30","ÖVP"
"Christian","Hafenecker","43","FPÖ"
"Sibylle","Hamann","57","GRÜNE"
"Lukas","Hammer","41","GRÜNE"
"Michael","Hammer","47","ÖVP"
"Andreas","Hanger","55","ÖVP"
"Peter","Haubner","64","ÖVP"
"Gerald","Hauser","62","FPÖ"
"Josef","Hechenberger","49","ÖVP"
"Gabriele","Heinisch-Hosek","62","SPÖ"
"Werner","Herbert","60","FPÖ"
"Julia","Herr","31","SPÖ"
"Eva-Maria","Himmelbauer","37","ÖVP"
