"Name","ID","Partei.x","Alter","Bezirk","Kalenderwoche","Anzahl"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","12","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","24","2"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","25","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","3","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","11","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","8","2"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","18","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","19","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","6","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","13","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","22","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","23","2"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","26","1"
"Agnes Sirkka Prammer","1447681058","GRÜNE",46,"4A Linz und Umgebung","31","1"
"Andreas Hanger","3367085355","ÖVP",55,"3C Mostviertel","25","2"
"Andreas Hanger","3367085355","ÖVP",55,"3C Mostviertel","23","1"
"Andreas Hanger","3367085355","ÖVP",55,"3C Mostviertel","26","2"
"Andreas Hanger","3367085355","ÖVP",55,"3C Mostviertel","27","1"
"Andreas Hanger","3367085355","ÖVP",55,"3C Mostviertel","24","2"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","19","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","22","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","15","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","21","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","13","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","14","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","33","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","9","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","4","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","5","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","23","8"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","34","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","25","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","10","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","11","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","12","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","16","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","17","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","18","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","2","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","3","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","8","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","20","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","26","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","24","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","1","4"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","28","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","31","14"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","27","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","6","12"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","7","10"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","32","6"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","30","8"
"Andreas Kollross","2772835668","SPÖ",53,"3F Wien Umgebung","29","12"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","11","3"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","9","2"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","33","4"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","12","5"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","31","4"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","32","2"
"Barbara Neßler","9,74E+17","GRÜNE",33,"7 Tirol","8","3"
